Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist (ML/Deep Learning Expert),"Skills:
1. Good understanding of basics of Statistics, Probability, Linear Algebra and Calculus
2. Should be able to explain all ML/DS projects mentioned in resume
3. Good in qualitative and result interpretation
4. Good understanding of business problem
5. Profound understanding of basic DS and ML skills like outlier handling, data imputation, bias, variance, cross validation etc.
6. Good understanding of basic ML algorithm, like linear regression, logistic regression, random forest etc.
7. Take Ownership of on boarding new customers and continuously improve our existing.
8. Experience in building machine learning models or optimization software to solve business problems.
9. Ability to communicate results clearly to both colleagues and less technically versed audiences.
10. Knowledge of multivariate preferably in the Python Data ecosystem.
11. Good communication skills.
12. Passion to learn new tools, languages and frameworks
13. Good either at Python or R from DS perspective
Good in terms of Python
• Understand and uses pandas, numpy, scikit-learn and other scientific libraries
• effectively and efficiently.
• Understand basic data structure of python
• Write pythonic code
Good in terms of R.
• Good understanding on using packages like data. table, ggplot, dplyr etc.
• Good understanding of matrix algebra and memory management.

Desired Skills:
1. Basic understanding of version control systems
2. Experience of working in agile development environment.
Supply Chain Nation
Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values
Check out Blue Yonder's blog - Supply Chain Nation - the platform for supply chain trends and innovations.",4.3,"Blue Yonder
4.3",Bengaluru,"Scottsdale, AZ",5001 to 10000 employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 billion (INR),"SAP, Oracle, Manhattan Associates"
Machine Learning Engineer - Customer Engagement,"Because you belong at Twilio.

The Who, What, Why and Where

Twilio seeks a Machine Learning Engineer to be a key leader in defining a new product offering at Twilio in the customer engagement space. The person in this role will be critical in shaping Twilio's data and intelligence strategy, which will empower our customers to create highly personalized communications and experiences for their contacts. Come be part of a team that's building a set of ML-driven APIs that deliver intelligent audience and personalization recommendations.

Who?

You have:
Personal traits: Curious, humble, team player
Professionally: Passionate, customer-obsessed, gets things done, highly collaborative, excellent communicator, and very comfortable with rapid change and uncertainty
You have hands on experience developing, deploying and monitoring a large scale machine learning model in production
Ph.D. or MS in Computer Science, Statistics, or related field
4+ years of applied ML experience in statistical and mathematical modeling such as supervised and unsupervised machine learning, deep learning, and/or reinforcement learning
You are familiar with concepts related to testing and maintaining models in production such as A/B testing, retraining, monitoring model performance
You've explored modern data storage, messaging, and processing tools (Kafka, Spark, Hadoop, Cassandra, etc.) and demonstrated experience designing and coding in big-data components such as DynamoDB or similar
You have a deep understanding of frameworks like - PyTorch, TensorFlow, or Keras, why and how these frameworks do what they do
Proficiency in Python is preferred. We will also consider strong quantitative candidates with a background in other programming languages
Experience working in an agile team environment
Big plus: Experience in AWS cloud computing
What?

You live the Twilio Magic values:
EMPOWER OTHERS: Be part of a small, high-impact and multi-talented engineering team. Show strong engagement in the team setting
WEAR THE CUSTOMER'S SHOES: Passion for and demonstrated track record of executing product opportunities deeply grounded in customer needs
DRAW THE OWL: Self-starter who can see the big picture and prioritize work to make the largest impact
BE BOLD: Help us take one of the world's most extensive communication data sets and transform it into leading-edge AI applications and products that solve meaningful customer problems
BE INCLUSIVE: Collaborating and brainstorming product ideas with product managers, data scientists and engineers
DON'T SETTLE: Experienced working at a massive scale with distributed, scalable systems, including making tradeoffs for consistency/availability
NO SHENANIGANS: Experience successfully applying machine learning to real-world problems
Why?

Today, Twilio powers the delivery of billions of the world's communications. Increasingly, we're hearing from our B2C customers that they're struggling to harness the massive amounts of valuable data they generate, much of which stems from the communications we help them send. We seek to uncover how Twilio can help customers utilize their valuable data to create unique, individualized experiences that their competitors can't replicate. We want to help them become more proactive (outcome-driven) than reactive (event-driven) in their customer engagements. We are a new initiative and team at Twilio that will function much like an internal start-up. If you want to shape the future of B2C Customer Engagement and Twilio, this project is for you!

Twilio is a company that is empowering the world's developers with modern communication in order to build better applications. Twilio is truly unique; we are a company committed to your growth, your learning, your development, and your entire employee experience. We only win when our employees succeed and we're dedicated to helping you develop your strengths. We have a cultural foundation built on diversity, inclusion, and innovation and we want you and your ideas to thrive at Twilio.

Where?

This position will be located in our office in Bangalore, India. You will enjoy our office perks: catered meals, snacks, game room, ergonomic desks, massages, Wednesday dinners, bi-weekly All Hands, and more. What you will also get to experience is a company that believes in small teams for maximum impact; seeks well-rounded talent to ensure a full perspective on our customers' experience, understands that this is a marathon, not a sprint; that continuously and purposefully builds an inclusive culture where everyone is able to do and be the best version of themselves.

About us:

Millions of developers around the world have used Twilio to unlock the magic of communications to improve any human experience. Twilio has democratized communications channels like voice, text, chat, video and email by virtualizing the world's communications infrastructure through APIs that are simple enough for any developer to use, yet robust enough to power the world's most demanding applications. By making communications a part of every software developer's toolkit, Twilio is enabling innovators across every industry — from emerging leaders to the world's largest organizations — to reinvent how companies engage with their customers.",3.9,"Twilio
3.9",Bengaluru,"San Francisco, CA",1001 to 5000 employees,2008,Company - Public,Internet,Information Technology,₹100 to ₹500 billion (INR),-1
Machine Learning Engineer,"Role: Machine Learning Engineer

Job Description-

3+ years- experience in machine learning using SciKit-learn, Keras, TensorFlow, and/or Torch.
Project & Team Leadership capabilities
Healthcare experience preferred.
Production-level ML in cloud environment (AWS / Azure / GCP)
NLP and/or Imaging (DNNs) experience
Expertise in causal inference
Data science consulting experience - Understanding customer's business problem and designing data science solutions

Location - Mumbai & Bangalore

Education Background- Statistics and Mathematics background

Responsibilities:
The Data Scientist is responsible to perform statistical and Machine Learning/Deep learning research and help in delivery tasks related to CT products, solutions and services.
Developing advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner Implementing statistical and data mining techniques e.g. hypothesis testing, machine learning, and retrieval processes on a large amount of data to identify trends, patterns and other relevant information
Understanding and the experience on the data science model development and operationalization lifecycle
Lead multiple data science projects and help delivery lead in end to end delivery.",3.5,"Antal International
3.5",Bengaluru,"London, United Kingdom",1001 to 5000 employees,1993,Franchise,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
Data Scientists,"CAREERS

Data Scientists

Bengaluru, India
JOB DESCRIPTION

As a Data Scientist with Tredence, you will play a key role in translating data into insights for our clients. You will design, develop and implement processes and framework that will help our clients make sense of the data they generate, and consume the insights to make informed decisions.
THE IDEAL CANDIDATE WILL

Have the ability to handle structured /unstructured data and have prior experience in loading, validating and cleaning various types of data.
Have very good understanding of data structures and algorithms.
Have excellent coding skills in one or more of the following languages: Python, Java, C++ or R
Have thorough understanding of one or more of the following: Machine Learning algorithms, Natural Language Processing techniques, and Information Retrieval techniques
Have the ability to apply these algorithms in a professional setting.
Be accountable for measuring and optimizing the quality of algorithms.
Have good background in Math and Statistics.
Have ability to identify opportunities where data science techniques can be applied to solve business problems.
Take ownership of the end to end system from Problem statement to Solution Delivery
Preferred Skills
Experience working with Hadoop/AzureML/Hive/H2O would be an added advantage.
Experience with deep learning techniques like Theano, Torch and TensorFlow is preferred.
ELIGIBILITY CRITERIA

BE/B. Tech/MS degree in Computer Science or related quantitative field with 2-8 years or relevant experience in a team building world class applications in the areas of Predictive Analytics and Data Science.
Send your CV to careers@tredence.com",3.7,"Tredence
3.7",Bengaluru,"San Jose, CA",501 to 1000 employees,2013,Company - Private,Consulting,Business Services,₹1 to ₹5 billion (INR),-1
Data Scientist Intern,"Amazon's looking for Data Scientist to optimize one of the most complex logistics systems in the world. Academic and/or practical background in Computer Science, Engineering, Operations Research, or Process Control are particularly relevant for this position. Experience in the integration of model-based engineering tools and/or multidisciplinary analysis & optimization is also a plus.
Major Responsibilities:
· Use data analyses and statistical techniques to develop solutions to improve customer experience and to guide business decision making
· Identify predictors and causes of business related problems and implement novel approaches related to forecasting and prediction
· Identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations
· Collaborate with multiple teams as a leader of quantitative analysis and where you develop solutions that utilize the highest standards of analytical rigor and data integrity
· Analyze and solve business problems at their root

Basic Qualifications

· Pursuing Masters or equivalent advanced degree from a top tier Technology school
· Record of delivering large analytical solutions with business impact
· Experience on R/SAS/Matlab and SQL
· Excellent Microsoft Office skills, including a strong working knowledge of Excel
· Problem solving ability and passion for big data
· Excellent communication and data presentation skills
· Fluent written and spoken English

Preferred Qualifications

Masters or equivalent advanced degree in Computer Science, Computer Engineering, Statistics, Mathematics or related technical discipline. Hands-on experience and project based learning in computer science, engineering or mathematics is preferred.
• Academic experience in manipulating/transforming data, model selection, model training, cross-validation and deployment at scale.
• Academic or Project Experience with Machine and Deep Learning toolkits such as MXNet, TensorFlow, Caffe and PyTorch.
• Academic Experience with Big Data platforms like Apache Spark and Hadoop.
• Familiarity with data processing with Python, R & SQL.
• Familiarity with AWS services related to AI/ML highly desirable, particularly Amazon EMR, AWS Lambda, SageMaker, Machine Learning, IoT, Amazon DynamoDB, Amazon S3, Amazon EC2 Container Service, Green Grass etc.",4.2,"Amazon
4.2",Bengaluru,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
Senior Software Development Engineer,"Amazon product search, one of the most heavily used services in the world, indexes billions of products and serves hundreds of millions of customers world-wide daily. We are working on a new initiative to transform our search engine into a shopping engine that assists customers with their shopping missions. Were looking at every aspect of search, from query understanding to front-end UX, ranking and relevance, indexing and tiering and asking how we can make big step improvements by applying advanced Machine Learning (ML) and Deep Learning (DL) techniques. This is a rare opportunity to develop cutting edge ML solutions and apply them to a search problem of this magnitude. Some exciting questions that we expect to answer over the next few years include:

- Can we deeply understand customer intent and personalize their search experience even when they type broad queries such as dress or espresso machine?
- Can we reduce the cost of serving customer queries on Amazon by orders of magnitude using ML to predict n-grams and tuples that many queries decompose into, apply expensive ranking functions offline to identify the most relevant products that match these terms, and index these for efficient online retrieval? We expect this to lead to exciting research at the intersection of systems and ML.
- Can we deeply understand the catalog to surface products that offer the most value to a customer? The challenge here is that the definition of value is subjective and personal, and therefore requires a deeper understanding of the customers intent as well as preferences.
- Can we use deep learning to transfer behavioral signals from frequently purchased products in the head to products in the tail where behavioral signals are sparse? The challenge here is the scale, and the fact that the head and torso contain only a small fraction of products while the tail contains an overwhelmingly large fraction of the products in the catalog.
- We have hired ML experts from leading research labs and academia to spearhead this effort. Our research leaders include Trishul Chilimbi (formerly MSR), Inderjit Dhillon (UT Austin), Guy Lebanon (formerly Georgia Tech), and S.V.N. (Vishy) Vishwanathan (formerly UC Santa Cruz). We are looking to hire Software Development Engineers (SDEs) and ML Applied Scientists at all levels, with experience in Search, Personalization, NLP, Systems, ML, DL and UI Design. Internship opportunities are also available throughout the year and we are flexible with duration and start dates. You will be working alongside world-class scientists and engineers to build next generation search systems and will be able to deploy your ML models into production. Our team is proud of its collaborative and open research environment, where long term thinking and risk taking are highly rewarded. We value academic collaborations and encourage our scientists and engineers to participate and publish in top conferences such as NIPS, ICML, KDD, SIGIR and WWW. Positions are available in Palo Alto, Berkeley, Seattle, Boston, Barcelona, and Tokyo.

The Query Understanding infrastructure team is building the next generation DL (deep learning) online inferencing system that is the key for applying state of the art DL models to product search. The online inferencing system puts challenges in many ways. How to build efficient systems across heterogenous hardware architecture involving CPUs and GPUs? How to build optimized services that serves billions of requests daily with load latency and high resiliency? How to architect the system that it can support use cases from different teams of Amazon, including search, Ads, and Alexa? How to build automated infrastructure to leverage the transfer learning capability of the DL models for new marketplaces?

As an engineer on the team, you will define, design and implement key initiatives in building the new DL systems that powers search, sponsored products, Alexa and many other downstream applications; work closely with other applied scientists, engineers, engineering and product managers to drive new enhancements to the system; design and build machine learning platform that powers deep learning; work with various AWS technologies and distributed computing technologies; build a robust, scalable and an extensible platform which supports large scale data analyses, model development, training, validation and implementation .
You will love this role because you will:
-Work on a world-class Query Understanding service that handles billions of requests per day and is an important component of Amazon Product Search
-Learn state of the art in terms of AWS and NLP/ML technology and figure out creative ways to make these work at production scale.
-Gain exposure to the workings of the largest e-commerce search engine and an opportunity to work with a dynamic team to define and develop innovative solutions that will have a direct impact on Amazon product search.
-Work with large data sets to analyze and improve the search experience using various AWS technologies.
- Have access to Amazon's vast technical resources to get the job done.
At Amazon Search, youll experience the benefits of working in a dynamic, entrepreneurial environment, while leveraging the resources of Amazon.com (AMZN), one of the world's leading internet companies.


Basic Qualifications

· 4+ years of professional software development experience
· 3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
· 2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems

Preferred Qualifications

· Advanced Degree in Computer Science or related fields
· Computer Science fundamentals in data structures, algorithm design, and complexity analysis.
· Interest in Search, Machine Learning, and Natural Language Processing.
· Experience in Search, A/B experimentation, Distributed Computing, Data Analysis, Information Retrieval.
· Experience presenting complex technical information in a clear and concise manner to a variety of audiences.
· Strong verbal and written communications skills, as well as the ability to work effectively across internal and external organizations
· Track record of project delivery for large, cross-functional projects.
· Aptitude for motivating and inspiring a team.
· Ability to handle multiple competing priorities in a fast-paced environment.
· A passion for innovation",4.2,"Amazon
4.2",Bengaluru,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
Machine Learning/Deep Learning Experts,"We at CrunchMetrics are looking for talented Machine Learning Scientist with a background in Machine Learning development who desires to work on building solutions to complex challenges and can create, innovate, and define the next generation of autonomous analytics solutions. This role requires an expert level of data science knowledge as well as experience with data science techniques, systems and processes.

The position will report to the Head of Strategy and Products at CrunchMetrics and will be based in Bangalore, India

Info
Category :AI
Job Code :CMA01
No. of openings :7
Skills
Qualifications
BRIEF
6-8 years proven experience in building Machine Learning/ Deep Learning based solutions/ products.
Strong hands on skill in Python using libraries like NLTK, SkLearn or Hands on in R and Java.
Proven background in at least one of the following – Reliability models, Markov Models, Stochastic models, Bayesian Modelling, Classification Models, Cluster Analysis, Neural Network, Non-parametric Methods, Multivariate Statistics.
Experience working with large data sets and tools like Elastic Search, Spark and Hive.
Excellent communication skills including the ability to present technical concepts to a wide range of audiences, both internal and external.
Ability to work effectively across teams.",-1,CrunchMetrics,Bengaluru,"Broomfield, CO",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,"What You Should Expect

To ride the wave of AI/ML with deeply enmeshed Operations Research and Mathematics to make real impact in the world of Supply Chain Planning, Retail and Execution.

What your work will be

» Develop and operate solutions that optimize and automate business decisions using large data sets and algorithms

» Work with complex data analysis, data preparation and developing prognostic models based on modern statistical methods

» Develop a deep understanding of retail and supply chain problems

» Write productive software that generates value for our customers

Apply if you have

» Good understanding and insight of Machine Learning Techniques – Supervised, Unsupervised or Semi-Supervised

» Passion for writing software with emphasis on quality, testability and automation

» Experience in building machine learning models or optimization software to solve business problems

» Ability to communicate and contextualize results

We believe that the individuality and diversity of our employees make a decisive

contribution to our success. Our hiring process is based on qualifications and career profile.

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out JDA's blog - Supply Chain Nation - the platform for supply chain trends and innovations.",4.3,"Blue Yonder
4.3",Bengaluru,"Scottsdale, AZ",5001 to 10000 employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 billion (INR),"SAP, Oracle, Manhattan Associates"
Director Machine Learning,"Requirements

We are looking for applicants with a strong background in Analytics and Data mining (Web, Social and Big data), Machine Learning, Pattern Recognition, Natural Language Processing, Computational Linguistics, Statistical Modelling, Inferencing, Information Retrieval, Large Scale Distributed Systems, Cloud Computing, Econometrics, Quantitative Marketing, Applied Game Theory, Mechanism Design, Operations Research, Optimization, Human Computer Interaction and Information Visualization. Applicants with a background in other quantitative areas are also encouraged to apply.

We are looking for someone who can create and implement AI solutions. If you have built a product like IBM WATSON in the past and not just used WATSON to build applications, this could be the perfect role for you.

All successful candidates are expected to dive deep into problem areas of Zycus’ interest and invent technology solutions to not only advance the current products, but also to generate new product options that can strategically advantage the organization.

Skills:
Experience in predictive modelling and predictive software development
Skilled at Java, C++, Perl/Python (or similar scripting languages)
Experience in using R, Matlab, or any other statistical software
Experience in mentoring junior team members, and guiding them on machine learning and data modelling applications
Strong communication and data presentation skills
Classification (svm, decision tree, random forest, neural network)
Regression (linear, polynomial, logistic, etc)
Classical Optimization(gradient descent, newton raphson, etc)
Graph theory (network analytics)
Heuristic Optimisation (genetic algorithm, swarm theory)
Deep learning (lstm, convolutional nn, recurrent nn)
Roles & Responsibilities:
Act as a technical thought leader in collaboration with the analytics leadership team, helping to set the strategy and standards for Machine Learning and advanced analytics
Work with senior leaders from all functions to explore opportunities for using advance analytics
Provide technical leadership, coaching, and mentoring to talented data scientists and analytics professionals
Guide data scientists in the use of advanced statistical, machine learning, and artificial intelligence methodologies
Guide the work of other Machine learning team members to provide support and assistance, while also ensuring quality
Must Have:
Total experience: 14+ years
The ideal candidate must have proven expertise in Artificial Intelligence (including deep learning algorithms), Machine Learning and/or NLP
The candidate must also have expertise in programming traditional machine learning algorithms, algorithm design & usage
Programming expertise on Python or R
Preferred experience with large data sets & distributed computing in Hadoop ecosystem
Strong problem-solving skills
Fluency with databases
Benefits",3.4,"Zycus
3.4",Bengaluru,"Princeton, NJ",501 to 1000 employees,1998,Company - Private,Computer Hardware & Software,Information Technology,₹500 million to ₹1 billion (INR),"SAP Ariba, GEP, Coupa Software Inc"
Machine Learning Engineer,"Description

Unbxd is an AI-driven eCommerce Search Platform that understands shopper intent and connects them to the products they are most likely to buy — across site search, navigation and recommendation purchase journeys.

The platform combines AI-based automation, powerful merchandising controls, and extensive user experience capabilities to enhance the onsite shopper experience and increase revenue for online retailers.

Your Role

As part of our Data Science team, you will solve some of the most challenging and impactful problems in Information Retrieval, NLP, Machine Learning, Deep Learning and Recommender Systems. In close coordination with the Data Scientists, you will design and develop Machine Learning models that will understand a user’s intent across modalities and devices, enabling them to make the right purchasing decisions. You will have the opportunity to build models across different verticals (fashion, home, electronics, autos, etc) to drive better user conversion and user engagement.

What you’ll do

Be a thought leader in identifying the right set of problems that will delight our customers.

Design and implement state of the art Machine Learning and AI algorithms into our products.

Integrating ML components into a fully functional software system.

Writing well-designed, testable, efficient code.

Become an expert in IR, NLP and help make an impact on the broader community as an Unbxd Brand Ambassador.

About You

Must have:

You have BS/BTech/MS/MTech (with 2+ years relevant experience) in Computer Science, Information Technology, Mathematics, Statistics or similar fields.

You are extremely strong in Algorithms, Data Structures and basic probability.

You have strong technical and programming skills(Python/R/Java).

You have strong problem solving and analytical skills.

You have basic understanding and demonstrable strong interest in two or more of Machine Learning, Information Retrieval, Natural Language Processing, Deep Learning, Recommender Systems or related fields.

You have an understanding of the full software development lifecycle.

You can work independently with little supervision to research and test innovative solutions

You have strong communication skills to influence and make the team around you better

You have demonstrated the ability to quickly prototype ideas to solve complex problems

You are able to prioritize and handle multiple tasks and changing priorities

Good to have:

You have hands-on implementation experience with building machine learning models into products.

You have hands-on experience with some ML frameworks like TensorFlow, PyTorch, Keras, Sklearn, nltk or similar.

You are familiar with Big Data technologies

You have experience working with Solr or other search platforms",3.7,"Unbxd Inc
3.7",Bengaluru,"Bengaluru, India",51 to 200 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
