Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,company text,same_place,age,python_yn,Spark,aws,excel
Senior Data Scientist - GAIA,"Date: Mar 26, 2020

Ericsson is one of the leading providers of Information and Communication Technology (ICT) to service providers. We enable the full value of connectivity by creating game-changing technology and services that are easy to use, adopt, and scale, making our customers successful in a fully connected world. Headquartered in Stockholm, Sweden, Ericsson is proud of its global presence across 100+ countries and market areas. With a strong focus on innovation, we possess 49 thousand registered patents and a global strength of over 95 thousand competent professionals. We also take pride in supporting networks that cater to a capacity of 40 percent of the world’s mobile traffic, thereby connecting more than 2.5 billion subscribers and counting. We are a world leader in the rapidly changing environment of communications technology – by providing hardware, software, and services to enable the full value of connectivity.

Senior Data Scientist – Product Development (Global AI Accelerator India)

Job Description

Ericsson Overview:

Ericsson is world’s leading provider of communications technology and services. Our offerings include services, consulting, software and infrastructure within Information and Communications Technology.

Using innovation to empower people, business and society, Ericsson is working towards the Networked Society: a world connected in real time that will open up opportunities to create freedom, transform society and drive solutions to some of our planet’s greatest challenges.

We are truly a global company, operating across borders in over 180 countries, offering a diverse, performance-driven culture and an innovative and engaging environment. As an Ericsson employee, you will have freedom to think big and the support to turn ideas into achievements. Continuous learning and growth opportunities allow you to acquire the knowledge and skills necessary to progress and reach your career goals. We invite you to join our team.

Exciting Opportunity:

It will be practically impossible for human brains to understand how to run and optimize next generation of wireless networks, i.e., 5G network with distributed edge compute, that will drive economic and social transformation for all aspects of society. Machine Learning (ML) and other Artificial Intelligence (AI) technologies will be vital for us to handle this opportunity. We are setting up a Global AI Accelerator (GAIA) in the US, Sweden and India, with 300 experts, to fast-track our strategy execution.

Machine Intelligence, the combination of Machine Learning and other Artificial Intelligence technologies is what Ericsson uses to drive thought leadership to automate and transform Ericsson offerings and operations. MI is also a key competence for to enable new and emerging business. This includes development of models, frameworks and infrastructure where we in our advancements push the technology frontiers. We engage in both academic and industry collaborations and drive the digitalization of Ericsson and the Industry by developing state of the art solutions that simplify and automate processes in our products and services and build new value through data insights.

Ericsson is now looking for Senior Data Scientists to significantly expand its global team for AI acceleration for our group in Bangalore and Chennai.

Do you have in depth understanding of Machine Learning and AI technologies?

Do you want to apply and extend those skills to solve real complex problems with high societal impact; going beyond ML/AI for consumption and advertising?

Then, you do want to join Ericsson’s global team of Engineers/Scientists pushing the technology frontiers to automate, simplify and add new value through large and complex data.

Role Summary:

As a Senior Data Scientist, you will need to have strong programming skills and deep understanding of data science and Machine Learning tools. Your knowledge and experience in Data Science methodologies will be applied to solve challenging real-world problems as part of a highly dynamic and global team. You will work in a highly collaborative environment where you communicate and plan tasks and ideas. You will be working on high impact initiatives with other DS in Machine Intelligence to drive growth and economic profitability for Ericsson and its customers by accelerating current Ericsson offerings. Your contribution will also help to create new offerings in the areas of MI driven 4G and 5G network, distributed cloud, IoT and other emerging businesses.

Key Responsibilities:
Lead functional and technical analysis within Ericsson businesses and for strategic customers to understand MI-driven business needs and opportunities
Define the model validation strategy and business success criteria in data science terms
Identify the right architecture and flow for the data and DS model
Design the implementation and deployment strategy for the model into production
Contribute to rapid and iterative development of validated minimum viable solutions addressing these needs. This includes working with petabytes of 4G/5G-networks, IoT and exogenous data, and proposing/selecting/testing predictive models, recommendation engines, anomaly detection systems, statistical models, deep learning, reinforcement learning and other machine learning systems
Lead studies and creative usage of new and/or existing data sources. Work with Data Architects to leverage existing data models and build new ones as needed.
Collaborate with product development teams and partners in Ericsson Businesses to industrialize machine learning models and solutions as part of Ericsson offerings including providing source code, workflows and documents
Work with unstructured data including text and images in AI/ML models
Work with new technologies and be the ambassador for them in MI Communities within Ericsson, nurturing the communities and mentoring junior data scientists.
Provide MI Competence build-up in Ericsson Businesses and Customer Serving Units
Develop new and apply/extend existing, concepts, methodologies, techniques for cross functional initiatives
Engage with external ecosystem (academia, technology leaders, open source etc.) to develop the skills and technology portfolio for MI’s needs
Present and be prominent in MI related forums and conferences, e.g., publishing patents, presenting papers, organizing sessions etc.
Key Qualifications:
Bachelors/Masters/Ph.D. in Computer Science, Data Science, Artificial Intelligence, Machine Learning, Electrical Engineering or related disciplines from any of the reputed institutes. First Class, preferably with Distinction.
Applied experience: 5+ years of ML and/or AI production level experience; and an overall industry experience of around 10+ years.
Proven skills of implementing a variety of Machine Learning techniques
Experience in Security, Internet of Things is a plus
Strong skills in the use of current machine learning frameworks such as H2O, Keras, TensorFlow, Spark ML etc.
Demonstrated ability to implement new algorithms and methodologies from leading open source initiatives and research papers addressing their functionalities, scalability and overall industrialization viability
Experience with Big Data technologies such as Hadoop, Cassandra etc.
Good with effective big data storage and retrieval strategies including indexing, partitioning, etc.
Hands on working with data pipeline and flow
Hands on with API design/development for AI/ML models
Strong grounding in math and statistics.
Proven ability of leading projects end-to-end.
Proven experience writing production-grade software
Extensive experience in model development and AI model life-cycle-management in one or more industry/application domain
Strong Programming skills in various languages (C++, Scala, Java, R) with proficiency in Python and/or C++
Good communication skills in written and spoken English
Creativity and ability to formulate problems and solve them independently
Ability to build and nurture internal and external communities
Experience in writing and presenting white papers, journal articles and technical blogs on the results
Additional Requirements:
Certifying MI MOOCS, a plus
Applications/Domain-knowledge in Telecommunication and/or IoT, a plus.
Experience with data visualization and dashboard creation is a plus
Ability to work independently with high energy, enthusiasm and persistence
Experience in partnering and collaborative co-creation, i.e., working with complex multiple stakeholder business units, global customers, technology and other ecosystem partners in a multi-culture, global matrix organization with sensitivity and persistence
Ericsson provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetics. Ericsson complies with applicable country, state and all local laws governing nondiscrimination in employment in every location across the world in which the company has facilities. In addition, Ericsson supports the UN Guiding Principles for Business and Human Rights and the United Nations Global Compact. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, training and development. Ericsson expressly prohibits any form of workplace harassment based on race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetic information.",3.9,"Ericsson-Worldwide
3.9",Bengaluru,"Stockholm, Sweden",10000+ employees,1876,Company - Public,Telecommunications Services,Telecommunications,₹500+ billion (INR),"Huawei Technologies, IBM, Cisco Systems","Ericsson-Worldwide
",0,144,1,1,1,0
Senior Data Scientist (ML/Deep Learning Expert),"Skills:
1. Good understanding of basics of Statistics, Probability, Linear Algebra and Calculus
2. Should be able to explain all ML/DS projects mentioned in resume
3. Good in qualitative and result interpretation
4. Good understanding of business problem
5. Profound understanding of basic DS and ML skills like outlier handling, data imputation, bias, variance, cross validation etc.
6. Good understanding of basic ML algorithm, like linear regression, logistic regression, random forest etc.
7. Take Ownership of on boarding new customers and continuously improve our existing.
8. Experience in building machine learning models or optimization software to solve business problems.
9. Ability to communicate results clearly to both colleagues and less technically versed audiences.
10. Knowledge of multivariate preferably in the Python Data ecosystem.
11. Good communication skills.
12. Passion to learn new tools, languages and frameworks
13. Good either at Python or R from DS perspective
Good in terms of Python
• Understand and uses pandas, numpy, scikit-learn and other scientific libraries
• effectively and efficiently.
• Understand basic data structure of python
• Write pythonic code
Good in terms of R.
• Good understanding on using packages like data. table, ggplot, dplyr etc.
• Good understanding of matrix algebra and memory management.

Desired Skills:
1. Basic understanding of version control systems
2. Experience of working in agile development environment.
Supply Chain Nation
Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values
Check out Blue Yonder's blog - Supply Chain Nation - the platform for supply chain trends and innovations.",4.3,"Blue Yonder
4.3",Bengaluru,"Scottsdale, AZ",5001 to 10000 employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 billion (INR),"SAP, Oracle, Manhattan Associates","Blue Yonder
",0,35,1,0,0,0
Data Scientists,"CAREERS

Data Scientists

Bengaluru, India
JOB DESCRIPTION

As a Data Scientist with Tredence, you will play a key role in translating data into insights for our clients. You will design, develop and implement processes and framework that will help our clients make sense of the data they generate, and consume the insights to make informed decisions.
THE IDEAL CANDIDATE WILL

Have the ability to handle structured /unstructured data and have prior experience in loading, validating and cleaning various types of data.
Have very good understanding of data structures and algorithms.
Have excellent coding skills in one or more of the following languages: Python, Java, C++ or R
Have thorough understanding of one or more of the following: Machine Learning algorithms, Natural Language Processing techniques, and Information Retrieval techniques
Have the ability to apply these algorithms in a professional setting.
Be accountable for measuring and optimizing the quality of algorithms.
Have good background in Math and Statistics.
Have ability to identify opportunities where data science techniques can be applied to solve business problems.
Take ownership of the end to end system from Problem statement to Solution Delivery
Preferred Skills
Experience working with Hadoop/AzureML/Hive/H2O would be an added advantage.
Experience with deep learning techniques like Theano, Torch and TensorFlow is preferred.
ELIGIBILITY CRITERIA

BE/B. Tech/MS degree in Computer Science or related quantitative field with 2-8 years or relevant experience in a team building world class applications in the areas of Predictive Analytics and Data Science.
Send your CV to careers@tredence.com",3.7,"Tredence
3.7",Bengaluru,"San Jose, CA",501 to 1000 employees,2013,Company - Private,Consulting,Business Services,₹1 to ₹5 billion (INR),-1,"Tredence
",0,7,1,0,0,1
"Staff Engineer, Machine Learning","Twilio seeks a Staff Machine Learning Engineer to be a key leader in defining a new product offering at Twilio in the customer engagement space. The person in this role will be critical in shaping Twilio's data and intelligence strategy, which will empower our customers to create highly personalized communications and experiences for their contacts. Come be part of a team that's building a set of ML-driven APIs that deliver intelligent audience and personalization recommendations.

Who?

You have:
Personal traits: Curious, humble, team player
Professionally: Passionate, customer-obsessed, gets things done, highly collaborative, excellent communicator, and very comfortable with rapid change and uncertainty
You have hands on experience developing, deploying and monitoring a large scale machine learning model in production
Ph.D. or MS in Computer Science, Statistics, or related field
5+ years of applied ML experience in statistical and mathematical modeling such as supervised and unsupervised machine learning, deep learning, and/or reinforcement learning
You are familiar with concepts related to testing and maintaining models in production such as A/B testing, retraining, monitoring model performance
You've explored modern data storage, messaging, and processing tools (Kafka, Spark, Hadoop, Cassandra, etc.) and demonstrated experience designing and coding in big-data components such as DynamoDB or similar
You have a deep understanding of frameworks like - PyTorch, TensorFlow, or Keras, why and how these frameworks do what they do
Proficiency in Python is preferred. We will also consider strong quantitative candidates with a background in other programming languages
Experience working in an agile team environment
Big plus: Experience in AWS cloud computing
What?

You live the Twilio Magic values:
EMPOWER OTHERS: Be part of a small, high-impact and multi-talented engineering team. Show strong engagement in the team setting
WEAR THE CUSTOMER'S SHOES: Passion for and demonstrated track record of executing product opportunities deeply grounded in customer needs
DRAW THE OWL: Self-starter who can see the big picture and prioritize work to make the largest impact
BE BOLD: Help us take one of the world's most extensive communication data sets and transform it into leading-edge AI applications and products that solve meaningful customer problems
BE INCLUSIVE: Collaborating and brainstorming product ideas with product managers, data scientists and engineers
DON'T SETTLE: Experienced working at a massive scale with distributed, scalable systems, including making tradeoffs for consistency/availability
NO SHENANIGANS: Experience successfully applying machine learning to real-world problems
Why?

Today, Twilio powers the delivery of billions of the world's communications. Increasingly, we're hearing from our B2C customers that they're struggling to harness the massive amounts of valuable data they generate, much of which stems from the communications we help them send. We seek to uncover how Twilio can help customers utilize their valuable data to create unique, individualized experiences that their competitors can't replicate. We want to help them become more proactive (outcome-driven) than reactive (event-driven) in their customer engagements. We are a new initiative and team at Twilio that will function much like an internal start-up. If you want to shape the future of B2C Customer Engagement and Twilio, this project is for you!

Twilio is a company that is empowering the world's developers with modern communication in order to build better applications. Twilio is truly unique; we are a company committed to your growth, your learning, your development, and your entire employee experience. We only win when our employees succeed and we're dedicated to helping you develop your strengths. We have a cultural foundation built on diversity, inclusion, and innovation and we want you and your ideas to thrive at Twilio.

Where?

This position will be located in our office in Bangalore, India. You will enjoy our office perks: catered meals, snacks, game room, ergonomic desks, massages, Wednesday dinners, bi-weekly All Hands, and more. What you will also get to experience is a company that believes in small teams for maximum impact; seeks well-rounded talent to ensure a full perspective on our customers' experience, understands that this is a marathon, not a sprint; that continuously and purposefully builds an inclusive culture where everyone is able to do and be the best version of themselves.

About us:

Millions of developers around the world have used Twilio to unlock the magic of communications to improve any human experience. Twilio has democratized communications channels like voice, text, chat, video and email by virtualizing the world's communications infrastructure through APIs that are simple enough for any developer to use, yet robust enough to power the world's most demanding applications. By making communications a part of every software developer's toolkit, Twilio is enabling innovators across every industry — from emerging leaders to the world's largest organizations — to reinvent how companies engage with their customers.",3.9,"Twilio
3.9",Bengaluru,"San Francisco, CA",1001 to 5000 employees,2008,Company - Public,Internet,Information Technology,₹100 to ₹500 billion (INR),-1,"Twilio
",0,12,1,1,1,1
Data Scientist Intern,"Amazon's looking for Data Scientist to optimize one of the most complex logistics systems in the world. Academic and/or practical background in Computer Science, Engineering, Operations Research, or Process Control are particularly relevant for this position. Experience in the integration of model-based engineering tools and/or multidisciplinary analysis & optimization is also a plus.
Major Responsibilities:
· Use data analyses and statistical techniques to develop solutions to improve customer experience and to guide business decision making
· Identify predictors and causes of business related problems and implement novel approaches related to forecasting and prediction
· Identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations
· Collaborate with multiple teams as a leader of quantitative analysis and where you develop solutions that utilize the highest standards of analytical rigor and data integrity
· Analyze and solve business problems at their root

Basic Qualifications

· Pursuing Masters or equivalent advanced degree from a top tier Technology school
· Record of delivering large analytical solutions with business impact
· Experience on R/SAS/Matlab and SQL
· Excellent Microsoft Office skills, including a strong working knowledge of Excel
· Problem solving ability and passion for big data
Excellent communication and data presentation skills
· Fluent written and spoken English

Preferred Qualifications

Masters or equivalent advanced degree in Computer Science, Computer Engineering, Statistics, Mathematics or related technical discipline. Hands-on experience and project based learning in computer science, engineering or mathematics is preferred.
• Academic experience in manipulating/transforming data, model selection, model training, cross-validation and deployment at scale.
• Academic or Project Experience with Machine and Deep Learning toolkits such as MXNet, TensorFlow, Caffe and PyTorch.
• Academic Experience with Big Data platforms like Apache Spark and Hadoop.
• Familiarity with data processing with Python, R & SQL.
• Familiarity with AWS services related to AI/ML highly desirable, particularly Amazon EMR, AWS Lambda, SageMaker, Machine Learning, IoT, Amazon DynamoDB, Amazon S3, Amazon EC2 Container Service, Green Grass etc.",4.2,"Amazon
4.2",Bengaluru,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart","Amazon
",0,26,1,1,1,1
Machine Learning Engineer,"Role: Machine Learning Engineer

Job Description-

3+ years- experience in machine learning using SciKit-learn, Keras, TensorFlow, and/or Torch.
Project & Team Leadership capabilities
Healthcare experience preferred.
Production-level ML in cloud environment (AWS / Azure / GCP)
NLP and/or Imaging (DNNs) experience
Expertise in causal inference
Data science consulting experience - Understanding customer's business problem and designing data science solutions

Location - Mumbai & Bangalore

Education Background- Statistics and Mathematics background

Responsibilities:
The Data Scientist is responsible to perform statistical and Machine Learning/Deep learning research and help in delivery tasks related to CT products, solutions and services.
Developing advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner Implementing statistical and data mining techniques e.g. hypothesis testing, machine learning, and retrieval processes on a large amount of data to identify trends, patterns and other relevant information
Understanding and the experience on the data science model development and operationalization lifecycle
Lead multiple data science projects and help delivery lead in end to end delivery.",3.5,"Antal International
3.5",Bengaluru,"London, United Kingdom",1001 to 5000 employees,1993,Franchise,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,"Antal International
",0,27,0,0,1,0
Machine Learning/Deep Learning Experts,"We at CrunchMetrics are looking for talented Machine Learning Scientist with a background in Machine Learning development who desires to work on building solutions to complex challenges and can create, innovate, and define the next generation of autonomous analytics solutions. This role requires an expert level of data science knowledge as well as experience with data science techniques, systems and processes.

The position will report to the Head of Strategy and Products at CrunchMetrics and will be based in Bangalore, India

Info
Category :AI
Job Code :CMA01
No. of openings :7
Skills
Qualifications
BRIEF
6-8 years proven experience in building Machine Learning/ Deep Learning based solutions/ products.
Strong hands on skill in Python using libraries like NLTK, SkLearn or Hands on in R and Java.
Proven background in at least one of the following – Reliability models, Markov Models, Stochastic models, Bayesian Modelling, Classification Models, Cluster Analysis, Neural Network, Non-parametric Methods, Multivariate Statistics.
Experience working with large data sets and tools like Elastic Search, Spark and Hive.
Excellent communication skills including the ability to present technical concepts to a wide range of audiences, both internal and external.
Ability to work effectively across teams.",-1.0,CrunchMetrics,Bengaluru,"Broomfield, CO",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,CrunchMetrics,0,-1,1,1,0,1
Data Scientist,"What You Should Expect

To ride the wave of AI/ML with deeply enmeshed Operations Research and Mathematics to make real impact in the world of Supply Chain Planning, Retail and Execution.

What your work will be

» Develop and operate solutions that optimize and automate business decisions using large data sets and algorithms

» Work with complex data analysis, data preparation and developing prognostic models based on modern statistical methods

» Develop a deep understanding of retail and supply chain problems

» Write productive software that generates value for our customers

Apply if you have

» Good understanding and insight of Machine Learning Techniques – Supervised, Unsupervised or Semi-Supervised

» Passion for writing software with emphasis on quality, testability and automation

» Experience in building machine learning models or optimization software to solve business problems

» Ability to communicate and contextualize results

We believe that the individuality and diversity of our employees make a decisive

contribution to our success. Our hiring process is based on qualifications and career profile.

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out JDA's blog - Supply Chain Nation - the platform for supply chain trends and innovations.",4.3,"Blue Yonder
4.3",Bengaluru,"Scottsdale, AZ",5001 to 10000 employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 billion (INR),"SAP, Oracle, Manhattan Associates","Blue Yonder
",0,35,0,0,0,0
Director Machine Learning,"Requirements

We are looking for applicants with a strong background in Analytics and Data mining (Web, Social and Big data), Machine Learning, Pattern Recognition, Natural Language Processing, Computational Linguistics, Statistical Modelling, Inferencing, Information Retrieval, Large Scale Distributed Systems, Cloud Computing, Econometrics, Quantitative Marketing, Applied Game Theory, Mechanism Design, Operations Research, Optimization, Human Computer Interaction and Information Visualization. Applicants with a background in other quantitative areas are also encouraged to apply.

We are looking for someone who can create and implement AI solutions. If you have built a product like IBM WATSON in the past and not just used WATSON to build applications, this could be the perfect role for you.

All successful candidates are expected to dive deep into problem areas of Zycus’ interest and invent technology solutions to not only advance the current products, but also to generate new product options that can strategically advantage the organization.

Skills:
Experience in predictive modelling and predictive software development
Skilled at Java, C++, Perl/Python (or similar scripting languages)
Experience in using R, Matlab, or any other statistical software
Experience in mentoring junior team members, and guiding them on machine learning and data modelling applications
Strong communication and data presentation skills
Classification (svm, decision tree, random forest, neural network)
Regression (linear, polynomial, logistic, etc)
Classical Optimization(gradient descent, newton raphson, etc)
Graph theory (network analytics)
Heuristic Optimisation (genetic algorithm, swarm theory)
Deep learning (lstm, convolutional nn, recurrent nn)
Roles & Responsibilities:
Act as a technical thought leader in collaboration with the analytics leadership team, helping to set the strategy and standards for Machine Learning and advanced analytics
Work with senior leaders from all functions to explore opportunities for using advance analytics
Provide technical leadership, coaching, and mentoring to talented data scientists and analytics professionals
Guide data scientists in the use of advanced statistical, machine learning, and artificial intelligence methodologies
Guide the work of other Machine learning team members to provide support and assistance, while also ensuring quality
Must Have:
Total experience: 14+ years
The ideal candidate must have proven expertise in Artificial Intelligence (including deep learning algorithms), Machine Learning and/or NLP
The candidate must also have expertise in programming traditional machine learning algorithms, algorithm design & usage
Programming expertise on Python or R
Preferred experience with large data sets & distributed computing in Hadoop ecosystem
Strong problem-solving skills
Fluency with databases
Benefits",3.4,"Zycus
3.4",Bengaluru,"Princeton, NJ",501 to 1000 employees,1998,Company - Private,Computer Hardware & Software,Information Technology,₹500 million to ₹1 billion (INR),"SAP Ariba, GEP, Coupa Software Inc","Zycus
",0,22,1,0,0,0
Machine Learning Engineer - Customer Engagement,"Because you belong at Twilio.

The Who, What, Why and Where

Twilio seeks a Machine Learning Engineer to be a key leader in defining a new product offering at Twilio in the customer engagement space. The person in this role will be critical in shaping Twilio's data and intelligence strategy, which will empower our customers to create highly personalized communications and experiences for their contacts. Come be part of a team that's building a set of ML-driven APIs that deliver intelligent audience and personalization recommendations.

Who?

You have:
Personal traits: Curious, humble, team player
Professionally: Passionate, customer-obsessed, gets things done, highly collaborative, excellent communicator, and very comfortable with rapid change and uncertainty
You have hands on experience developing, deploying and monitoring a large scale machine learning model in production
Ph.D. or MS in Computer Science, Statistics, or related field
4+ years of applied ML experience in statistical and mathematical modeling such as supervised and unsupervised machine learning, deep learning, and/or reinforcement learning
You are familiar with concepts related to testing and maintaining models in production such as A/B testing, retraining, monitoring model performance
You've explored modern data storage, messaging, and processing tools (Kafka, Spark, Hadoop, Cassandra, etc.) and demonstrated experience designing and coding in big-data components such as DynamoDB or similar
You have a deep understanding of frameworks like - PyTorch, TensorFlow, or Keras, why and how these frameworks do what they do
Proficiency in Python is preferred. We will also consider strong quantitative candidates with a background in other programming languages
Experience working in an agile team environment
Big plus: Experience in AWS cloud computing
What?

You live the Twilio Magic values:
EMPOWER OTHERS: Be part of a small, high-impact and multi-talented engineering team. Show strong engagement in the team setting
WEAR THE CUSTOMER'S SHOES: Passion for and demonstrated track record of executing product opportunities deeply grounded in customer needs
DRAW THE OWL: Self-starter who can see the big picture and prioritize work to make the largest impact
BE BOLD: Help us take one of the world's most extensive communication data sets and transform it into leading-edge AI applications and products that solve meaningful customer problems
BE INCLUSIVE: Collaborating and brainstorming product ideas with product managers, data scientists and engineers
DON'T SETTLE: Experienced working at a massive scale with distributed, scalable systems, including making tradeoffs for consistency/availability
NO SHENANIGANS: Experience successfully applying machine learning to real-world problems
Why?

Today, Twilio powers the delivery of billions of the world's communications. Increasingly, we're hearing from our B2C customers that they're struggling to harness the massive amounts of valuable data they generate, much of which stems from the communications we help them send. We seek to uncover how Twilio can help customers utilize their valuable data to create unique, individualized experiences that their competitors can't replicate. We want to help them become more proactive (outcome-driven) than reactive (event-driven) in their customer engagements. We are a new initiative and team at Twilio that will function much like an internal start-up. If you want to shape the future of B2C Customer Engagement and Twilio, this project is for you!

Twilio is a company that is empowering the world's developers with modern communication in order to build better applications. Twilio is truly unique; we are a company committed to your growth, your learning, your development, and your entire employee experience. We only win when our employees succeed and we're dedicated to helping you develop your strengths. We have a cultural foundation built on diversity, inclusion, and innovation and we want you and your ideas to thrive at Twilio.

Where?

This position will be located in our office in Bangalore, India. You will enjoy our office perks: catered meals, snacks, game room, ergonomic desks, massages, Wednesday dinners, bi-weekly All Hands, and more. What you will also get to experience is a company that believes in small teams for maximum impact; seeks well-rounded talent to ensure a full perspective on our customers' experience, understands that this is a marathon, not a sprint; that continuously and purposefully builds an inclusive culture where everyone is able to do and be the best version of themselves.

About us:

Millions of developers around the world have used Twilio to unlock the magic of communications to improve any human experience. Twilio has democratized communications channels like voice, text, chat, video and email by virtualizing the world's communications infrastructure through APIs that are simple enough for any developer to use, yet robust enough to power the world's most demanding applications. By making communications a part of every software developer's toolkit, Twilio is enabling innovators across every industry — from emerging leaders to the world's largest organizations — to reinvent how companies engage with their customers.",3.9,"Twilio
3.9",Bengaluru,"San Francisco, CA",1001 to 5000 employees,2008,Company - Public,Internet,Information Technology,₹100 to ₹500 billion (INR),-1,"Twilio
",0,12,1,1,1,1
